CompanyName,NoStudents,Time,Package in Lakhs
Hyperverge,20,Sep-24,11.1
Hyperverge,1,Oct-24,15
Hyundai AutoEver,6,Nov-24,6.5
Hyundai Motor,4,Dec-24,8
IAST,2,Sep-24,7.5
IBM,3,Oct-24,12
IBM,7,Nov-24,12
IBM,2,Dec-24,12
IBM,1,Jan-25,12
IBM,5,Feb-25,12
IBM,65,Apr-25,4.8
IBM CIO,27,Nov-24,9.8
IBM CIO,10,Dec-24,9.8
IBM PPO,4,Aug-24,12
IDFC,18,Sep-24,18.1
ION,91,Aug-24,17.3
ITC PPB,2,Mar-25,8
ITS Planners and Engineers,7,Feb-25,6
Incedo Inc,7,Dec-24,7.5
Indigo,1,Dec-24,nan
Indorama,4,Jan-25,5.5
Infinity Learn,2,May-25,3.5
Infosys,30,Apr-25,6.9
Infosys,510,Dec-24,3.6
Infosys,3,Aug-24,9.5
Infosys,30,Oct-24,9.5
Innova Solutions,35,Jan-25,6
Innova Solutions,4,Feb-25,6
Integra,8,Apr-25,3
Intelsat,1,Sep-24,10
Interacts AI,3,Nov-24,11
Intuit PPO,3,Aug-24,45
JK Fenner India,2,Apr-25,4.5
JP Morgan Internship,23,Aug-24,19.8
JP Morgan PPO,25,Aug-24,19.8
JSW,20,Feb-25,8.5
John Deere,20,Oct-24,11.1
K7 Computing,2,May-25,5
KLA Technologies,4,Sep-24,22.2
KLA Technologies,1,Oct-24,22.2
KPIT,57,Jan-25,4.5
KPMG,1,Apr-25,6
KPMG,4,Jan-25,7
KPMG,29,Sep-24,5.2
KSB Pumps,2,Apr-25,nan
Kalvium,3,Nov-24,13
Karma Electric,6,Feb-25,5
Kennametal,2,Mar-25,5.7
Kfintech,5,Feb-25,6
Kickdrum,3,Nov-24,15.8
Kinaxis,1,Nov-24,14
Kinaxis,2,Jan-25,14
Kinaxis,6,Oct-24,15.1
Kirloskar,4,Dec-24,8.4
Kredit Bee,7,May-25,10
Kuhoo Technology,1,Oct-24,8
Kuhoo Technology,3,Nov-24,8
Kumaran Systems,35,Jan-25,7
Kyndryl,27,Apr-25,11
LEK Consulting,6,Oct-24,15.5
LTIMindtree,478,Dec-24,4
Labcorp,7,Nov-24,4.1
Labcorp,4,Dec-24,4.3
Larsen & Toubro,8,Feb-25,6
Larsen & Toubro,1,Apr-25,6
Lava International,2,Apr-25,nan
Legrand,4,Feb-25,7
Lennox,2,Jan-25,8
LinkedIn PPO,1,Sep-24,60
Lohia Group,3,Apr-25,6
London Stock Exchange Group,4,Oct-24,11.5
Luganodes,4,Sep-24,15
Lumenci,1,Dec-24,9
Lumiq.ai,7,Nov-24,8
MINDGATE,5,Mar-25,5.5
MRL Tyres,4,May-25,2.2
MSG Global,2,Jan-25,6
MUFG,13,Oct-24,20
Mailmodo,8,Feb-25,6.5
Malomatia,6,Jan-25,6
Malomatia,6,Apr-25,6
Maruti Suzuki,18,Feb-25,12.8
Marvell PPO,5,Jul-24,33.8
Mcdermott Engineering,3,Sep-24,7.5
Meesho,2,Sep-24,21
Mendine,3,Feb-25,nan
Mercari,10,Dec-24,16
Merilytics,3,Oct-24,6.5
Micron,1,Nov-24,nan
Microsoft PPO,10,Jul-24,55
Microsoft PPO,2,Aug-24,55
Minfy Technologies,16,Apr-25,7.5
Mirafra,17,Jan-25,7
Mitsui Kinzoku,2,May-25,nan
Motorq PPO,2,Jul-24,100
Moveworks,2,Jul-24,41
Mygate,1,Jan-25,8
NCR Voyix,15,Jan-25,14
NCR Voyix,1,Feb-25,14
NMTronics,10,Feb-25,6
NVIDIA,1,Oct-24,32
NVIDIA,1,Nov-24,32
NVIDIA,4,Dec-24,32
NXP Semiconductors,7,Sep-24,23
Navitasys,2,Feb-25,4
Nestle,2,Mar-25,10
Nilkamal,5,Dec-24,4.5
Ninestar Technologies,4,May-25,5
Nissi Engineering,8,Feb-25,3.6
Niyo Solutions,12,Jan-25,14
Nokia,3,Feb-25,8.2
Nova platform,9,May-25,12
Nutanix,6,Sep-24,17
Ohmium Operations,6,Nov-24,7
Okta,7,Jul-24,43.2
Optiv Security,3,Sep-24,9.6
Optum,26,Sep-24,18.5
Optum,3,Oct-24,18.5
Optum PPO,4,Aug-24,18.6
Oracle,13,Oct-24,13.9
Oracle,3,Apr-25,9.3
Oracle PPO,1,Aug-24,19.2
Oracle PPO,10,Jul-24,19.2
Osfin.ai,5,Dec-24,8
Osfin.ai,1,Jan-25,8
PTC,4,Nov-24,10
PWC,28,Nov-24,9
PWC,10,Jan-25,9
PWC,16,Apr-25,7
PWC CTDP,32,Sep-24,9
PWC PPO,3,Oct-24,9
Par Formulations,6,Mar-25,nan
Paypal PPO,8,Aug-24,34.4
Paypal PPO,1,Sep-24,34.4
Pegasystems,9,Dec-24,10
Peninsular Research Operations,4,Jan-25,6
PepsiCo,5,Dec-24,10.7
Perficient,21,May-25,6
Peritys Innovations LLP,3,Nov-24,10
Pernod Ricard PPO,1,Sep-24,12
PharmaACE,3,Dec-24,8.6
Philips,7,Oct-24,14.5
Philips,3,Nov-24,14.5
Philips,12,Dec-24,14.5
Phonepe,5,Jul-24,33.5
Pioneer wincon Energy,2,Apr-25,5
PlaySimple Games,1,Sep-24,23
Pluralsight,3,Apr-25,nan
Pokarna Engineered Stone Limited,7,Apr-25,7.5
Powerica,14,Dec-24,6
Pratt & Whitney,10,Nov-24,8
Prodapt,38,Sep-24,6.3
Prodapt,24,Oct-24,6.4
Proscape,1,Dec-24,nan
Proscape,8,Apr-25,nan
Qualcomm,4,Apr-25,nan
Qualcomm PPO,2,Aug-24,33
Quantiphi Analytics,16,Oct-24,8.5
RDC Concrete,2,Jan-25,4.6
RELX Group (Elsevier),2,Dec-24,8
RT Camp,8,Aug-24,12
Ramco Systems,4,Jan-25,5.5
Ramco Systems,3,Mar-25,5
Rapido,1,Mar-25,18
Raspa Pharma,1,Dec-24,3.6
Relanto Global,6,Jan-25,6.5
Reliance Industries,7,Oct-24,8
Reliance Industries,4,Nov-24,8
Relito,2,Dec-24,15
Renault Nissan,2,Nov-24,5.2
Renault Nissan,1,Dec-24,5.2
Renaura Wellness,2,Jan-25,10.2
Rhenus Logistics,3,Jan-25,7
Ringcentral,4,Jul-24,28
Rystad Energy,11,Nov-24,10.4
SMCC CONSTRUCTION,11,Jan-25,5
SOCIETE GENERALE,16,Aug-24,12
SOCIETE GENERALE,10,Oct-24,12
SOCIETE GENERALE,3,Feb-25,12.1
STMicroelectronics,1,Jan-25,nan
Sabre Corporation,13,Aug-24,18.9
Saipem India,38,Sep-24,6
Saipem India,1,Nov-24,6
Saipem India,1,Dec-24,6
Salescode.AI,3,Oct-24,11.1
Salescode.AI,1,Dec-24,11.1
Samsung PPO,2,Sep-24,21.5
Samsung Research Internship,3,Nov-24,21.5
Sapiens Technologies,11,Jan-25,14.2
Sapiens Technologies,2,May-25,14.2
Saplabs PPO,3,Aug-24,24
Saviynt,3,Nov-24,20
Saviynt,5,Sep-24,20
Schneider,2,Sep-24,12
Schneider,29,Aug-24,12
Schneider Electric PPO,7,Jul-24,12
Schneider Electric PPO,2,Aug-24,12
Scienaptic Systems,3,Oct-24,11
Service Now PPO,11,Aug-24,44
Shell,11,Sep-24,13
Shell,3,Dec-24,13
Shipclues Technologies,2,May-25,4
Siemens EDA Internship,26,Sep-24,20.5
Siemens Energy,2,Sep-24,6
Smart Data Solution,4,Dec-24,6
Solar Winds,2,Oct-24,17
Sona BLW Precision Forgings,4,Nov-24,5.2
Sparrow Risk Management,9,Dec-24,8.8
Standard Chartered,8,Oct-24,9.1
Sun Life,9,Nov-24,7.2
Sundaram Dynacast,2,Feb-25,nan
Superjoin,2,Oct-24,21
Swati Industries,2,Feb-25,2
Swiggy,2,Feb-25,10.5
Synopsys,2,Sep-24,23
Synopsys,1,Dec-24,23
Syrma,3,Feb-25,6
TATA AIG,3,Sep-24,11.7
TATA Consulting,7,Feb-25,4.5
TATA Consulting,3,Mar-25,nan
TCS,2010,Dec-24,3.5
TCS Digital,406,Nov-24,7
TCS Prime,44,Nov-24,9
TCS R&D,1,Oct-24,9
TCS R&D,1,Jan-25,9
TVS Electronics,13,Feb-25,4.5
TVSM Utkarsh PPO,1,Aug-24,9
TanX.fi,3,Aug-24,31
Tanseeq Investment,4,Apr-25,nan
Tanseeq Investment,6,Mar-25,8
Tata Communications,4,Mar-25,nan
Tata Hitachi Construction Machinery,1,Mar-25,6.5
Tata Power,1,Feb-25,7
Tata Power Odisha,6,May-25,7
Tata Technologies,32,Dec-24,7.5
Tata Technologies,5,Jan-25,7.5
Tata motors,14,Dec-24,10.5
Tazapay,1,Feb-25,10
Tazapay,6,Jan-25,10
Tekion,4,Oct-24,22
Tekion,8,Nov-24,22
The Catalyst Group,1,Apr-25,5
Thermax,2,Feb-25,10
Thermofisher,6,Oct-24,12.9
Thermofisher,3,Nov-24,12.9
Think41,7,Feb-25,8
Thorogood Associates,3,Nov-24,14.8
Trademarkia,12,Sep-24,12
Trademarkia,2,Oct-24,12
Trademarkia,3,Nov-24,12
Trademarkia,1,Mar-25,12
Tredence Analytics,8,Sep-24,10
TresVista,19,Sep-24,9.1
TruEstate,12,Jan-25,8
TruEstate,3,Mar-25,8
Turing,12,Dec-24,5.5
UBS,6,Aug-24,14
UBS,9,Nov-24,14
UBS PPO,10,Jul-24,14
UBS PPO,5,Aug-24,14
UFI FILTERS,6,Jan-25,4
UPL PPO,2,Aug-24,11.1
UST,9,Dec-24,7.4
UST,1,Apr-25,10
Uber,4,Sep-24,11
UiPath,1,Aug-24,10
Unacademy,2,May-25,5
Unilever,3,Sep-24,9
Unistring,2,Nov-24,6
Urban Company,2,Aug-24,9
VComply,5,Sep-24,11
VOLTAS,1,Jan-25,5
Value Creed,3,Aug-24,10
Value Creed,1,Sep-24,10
Value Creed,2,Oct-24,8
ValueLabs,9,Nov-24,20
Varroc,4,Sep-24,11.5
Vedanta,11,Apr-25,10
Veeline Industries,4,Jan-25,2.1
Verity Knowledge,6,Sep-24,8.6
Verizon,23,Sep-24,9.7
Verteil,4,Jan-25,12
Vestas,2,Mar-25,4.2
Vguard,3,Dec-24,11
Virtusa International,1,Jan-25,47
Virtusa International,3,Feb-25,47
Visa PPO,4,Aug-24,41
Vishvaraj,3,Dec-24,6
Visteon,40,Sep-24,7
Vistex Asia Pacific,5,Jan-25,6
Vivriti Capital,5,Feb-25,nan
Vivriti Capital,1,Nov-24,10.1
Vivriti Capital,11,Jan-25,nan
Vodafone Intelligent Solutions,46,Feb-25,5
Volvo,9,Sep-24,7.5
Volvo,1,Oct-24,7.5
Volvo,7,Nov-24,7.5
Voxela PPO,1,Aug-24,20
Vudynamics,3,Apr-25,6
WNS Analytics,2,Jan-25,8
Wafer Space,1,Apr-25,5
Walmart,6,Sep-24,22.6
Walmart,7,Dec-24,22.6
Walmart PPO,1,Aug-24,22.6
Weekday (YC W21),3,Jan-25,6
Wells Fargo,5,Aug-24,24
Wells Fargo,9,Dec-24,24
Wells Fargo PPO,21,Aug-24,24.5
Whirlpool,4,Nov-24,8.5
Whirlpool,2,Dec-24,8.5
Whirlpool,3,Jan-25,8.5
Wog Group,8,Apr-25,4.6
WorkIndia,5,Aug-24,23
Worldline,20,Jul-24,7.9
Yamaha,11,Dec-24,7.5
Yuzhan Technology,1,Apr-25,3
ZETA,5,Jan-25,16
ZS Associates,23,Nov-24,13.6
Zanskar Securities,2,Sep-24,13
Zaptics Research,3,Nov-24,6
Zenoti,16,Sep-24,13.7
Zentrades,2,Mar-25,11
Zentrades,3,Apr-25,11
Zepto,19,Dec-24,4.5
Zeta,4,Mar-25,16
Zluri,5,Oct-24,18
ZoomRx,6,Mar-25,8
ZoomRx,5,Apr-25,8
Zoomcar,7,Feb-25,10
Zuper,1,Apr-25,6
firstsource,7,Mar-25,4
firstsource,15,Apr-25,4
firstsource,6,May-25,4
iDrive,2,Sep-24,15
o9 Solutions,2,Sep-24,14.1
zomato,2,Jul-24,56
